Genome ID,Genome Name,Other Names,NCBI Taxon ID,Taxon Lineage IDs,Taxon Lineage Names,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Segment,Subtype,H_type,N_type,H1 Clade Global,H1 Clade US,H5 Clade,pH1N1-like,Lineage,Clade,Subclade,Other Typing,Culture Collection,Type Strain,Reference,Genome Quality,Completion Date,Publication,Authors,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,Sequencing Center,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosome,Plasmids,Contigs,Size,GC Content,Contig L50,Contig N50,TRNA,RRNA,Mat Peptide,CDS,Coarse Consistency,Fine Consistency,CheckM Contamination,CheckM Completeness,Genome Quality Flags,Isolation Source,Isolation Comments,Collection Date,Collection Year,Season,Isolation Country,State/Province,County,City,Geographic Group,Geographic Location,Other Environmental,Host Name,Host Common Name,Host Sex,Host Age,Host Health,Host Group,Lab Host,Passage,Other Clinical,Additional Metadata,Comments,Date Inserted,Date Modified
"1263034.3","Akkermansia muciniphila CAG:154",,1263034,"131567;2;3379134;1783257;74201;203494;48461;1647988;239934;239935;1263034","cellular organisms;Bacteria;Pseudomonadati;PVC group;Verrucomicrobiota;Verrucomicrobiia;Verrucomicrobiales;Akkermansiaceae;Akkermansia;Akkermansia muciniphila;Akkermansia muciniphila CAG","Bacteria","Pseudomonadati","Verrucomicrobiota","Verrucomicrobiia","Verrucomicrobiales","Akkermansiaceae","Akkermansia","Akkermansia muciniphila","WGS","MGS:154",,,,,,,,,,,,,,,,,,,,"Good","2013-05-31T00:00:00Z",,,"PRJEB726","SAMEA3138704","GCF_000436395.1",,"CBDW000000000","DTU","WGS",,,,,,81,2721828,55.38,9,74342,46,1,,2789,99.8,98.4,0.6,100,,"396 human stool samples we identified 7,381 such MetaGenomic Species","derived from 396 human stool samples we identified 7,381 such MetaGenomic Species",,,,,,,,,,,"Human, Homo sapiens","Human",,,,"Human",,,,,"Metagenomic data acquired by deep sequencing is immensely complex, lacks apparent structure and is typically dominated by unknown species. Using an abundance co-variance strategy, we group highly co-varying genes into MetaGenomic Species, which represent a wide range of biological entities: bacterial genomes, plasmids, genomic islands, clonal variation and bacteriophages. Applying this concept to a new 3.9 million microbial gene catalogue derived from 396 human stool samples we identified 7,381 such MetaGenomic Species. They range in size from 3 to 6,319 genes, with 741 MetaGenomic Species resembling bacterial genomes in number of genes contained. The Meta-Genomic Species displays remarkable consistency in taxonomy and GC content. 247 of the MetaGenomic Species assemblies even pass the HMP high quality draft genome criteria. A large proportion (73%) of the MetaGenomic Species displays no sequence similarity to any previously sequenced organism. Smaller MetaGenomic Species are enriched for genes characteristic for bacteriophages and functions important for biotic interactions and show strong dependencies to gene-rich MetaGenomic Species. We present the first unsupervised structuring of a highly complex series of metagenomic samples into biological entities, including a global analysis of the genetic interdependencies between bacteria, plasmids, phages and genetic islands in the human distal gut.;derived from environmental source","2016-01-17T15:32:41.844Z","2016-01-17T15:32:41.844Z"
"239935.2298","Akkermansia muciniphila strain COPD434",,239935,"131567;2;3379134;1783257;74201;203494;48461;1647988;239934;239935","cellular organisms;Bacteria;Pseudomonadati;PVC group;Verrucomicrobiota;Verrucomicrobiia;Verrucomicrobiales;Akkermansiaceae;Akkermansia;Akkermansia muciniphila","Bacteria","Pseudomonadati","Verrucomicrobiota","Verrucomicrobiia","Verrucomicrobiales","Akkermansiaceae","Akkermansia","Akkermansia muciniphila","WGS","COPD434",,,,,,,,,,,,,,,,,,,,"Good","2020-10-08T00:00:00Z",,,"PRJNA562766","SAMN12905381","GCA_014871965.1",,"WHIR00000000","University of Queensland","WGS","Illumina NextSeq","51.53587208079108x","SPAdes v. v3.12.0",,,45,2813776,55.42236,10,89306,48,,,2795,93.79,92.83,,99.55,,"feces","derived from fecal samples from 28 individuals with chronic obstructive pulmonary disease (COPD) and 29 healthy controls","2015-2016",2015,,"Australia",,,,"Oceania","Australia: Newcastle",,"Human, Homo sapiens","Human",,,,"Human",,,,"sample_type:metagenomic assembly","Study analysed metagenomes derived from fecal samples from 28 individuals with chronic obstructive pulmonary disease (COPD) and 29 healthy controls. Paired metabolomic data was also generated for the same samples.","2020-11-30T12:59:45.073Z","2020-11-30T12:59:45.073Z"
"239935.2299","Akkermansia muciniphila strain COPD432",,239935,"131567;2;3379134;1783257;74201;203494;48461;1647988;239934;239935","cellular organisms;Bacteria;Pseudomonadati;PVC group;Verrucomicrobiota;Verrucomicrobiia;Verrucomicrobiales;Akkermansiaceae;Akkermansia;Akkermansia muciniphila","Bacteria","Pseudomonadati","Verrucomicrobiota","Verrucomicrobiia","Verrucomicrobiales","Akkermansiaceae","Akkermansia","Akkermansia muciniphila","WGS","COPD432",,,,,,,,,,,,,,,,,,,,"Good","2020-10-08T00:00:00Z",,,"PRJNA562766","SAMN12905379","GCA_014871995.1",,"WHIP00000000","University of Queensland","WGS","Illumina NextSeq","32.94940025111064x","SPAdes v. v3.12.0",,,42,2722306,55.504158,8,111945,46,,,2701,93.97,92.89,0.45,99.55,,"feces","derived from fecal samples from 28 individuals with chronic obstructive pulmonary disease (COPD) and 29 healthy controls","2015-2016",2015,,"Australia",,,,"Oceania","Australia: Newcastle",,"Human, Homo sapiens","Human",,,,"Human",,,,"sample_type:metagenomic assembly","Study analysed metagenomes derived from fecal samples from 28 individuals with chronic obstructive pulmonary disease (COPD) and 29 healthy controls. Paired metabolomic data was also generated for the same samples.","2020-11-29T14:09:04.568Z","2020-11-29T14:09:04.568Z"
"239935.2300","Akkermansia muciniphila strain COPD433",,239935,"131567;2;3379134;1783257;74201;203494;48461;1647988;239934;239935","cellular organisms;Bacteria;Pseudomonadati;PVC group;Verrucomicrobiota;Verrucomicrobiia;Verrucomicrobiales;Akkermansiaceae;Akkermansia;Akkermansia muciniphila","Bacteria","Pseudomonadati","Verrucomicrobiota","Verrucomicrobiia","Verrucomicrobiales","Akkermansiaceae","Akkermansia","Akkermansia muciniphila","WGS","COPD433",,,,,,,,,,,,,,,,,,,,"Good","2020-10-08T00:00:00Z",,,"PRJNA562766","SAMN12905380","GCA_014872005.1",,"WHIQ00000000","University of Queensland","WGS","Illumina NextSeq","12.876354919492039x","SPAdes v. v3.12.0",,,58,2632721,55.694813,14,69399,44,,,2633,94.21,92.83,0.75,99.25,,"feces","derived from fecal samples from 28 individuals with chronic obstructive pulmonary disease (COPD) and 29 healthy controls","2015-2016",2015,,"Australia",,,,"Oceania","Australia: Newcastle",,"Human, Homo sapiens","Human",,,,"Human",,,,"sample_type:metagenomic assembly","Study analysed metagenomes derived from fecal samples from 28 individuals with chronic obstructive pulmonary disease (COPD) and 29 healthy controls. Paired metabolomic data was also generated for the same samples.","2020-11-29T14:09:05.937Z","2020-11-29T14:09:05.937Z"
"239935.2301","Akkermansia muciniphila strain COPD431",,239935,"131567;2;3379134;1783257;74201;203494;48461;1647988;239934;239935","cellular organisms;Bacteria;Pseudomonadati;PVC group;Verrucomicrobiota;Verrucomicrobiia;Verrucomicrobiales;Akkermansiaceae;Akkermansia;Akkermansia muciniphila","Bacteria","Pseudomonadati","Verrucomicrobiota","Verrucomicrobiia","Verrucomicrobiales","Akkermansiaceae","Akkermansia","Akkermansia muciniphila","WGS","COPD431",,,,,,,,,,,,,,,,,,,,"Good","2020-10-08T00:00:00Z",,,"PRJNA562766","SAMN12905378","GCA_014872035.1",,"WHIO00000000","University of Queensland","WGS","Illumina NextSeq","15.277406035763299x","SPAdes v. v3.12.0",,,59,2813331,55.408516,12,84253,47,,,2907,93.91,92.53,0.45,99.4,,"feces","derived from fecal samples from 28 individuals with chronic obstructive pulmonary disease (COPD) and 29 healthy controls","2015-2016",2015,,"Australia",,,,"Oceania","Australia: Newcastle",,"Human, Homo sapiens","Human",,,,"Human",,,,"sample_type:metagenomic assembly","Study analysed metagenomes derived from fecal samples from 28 individuals with chronic obstructive pulmonary disease (COPD) and 29 healthy controls. Paired metabolomic data was also generated for the same samples.","2020-11-29T14:07:02.361Z","2020-11-29T14:07:02.361Z"
"239935.2302","Akkermansia muciniphila strain COPD430",,239935,"131567;2;3379134;1783257;74201;203494;48461;1647988;239934;239935","cellular organisms;Bacteria;Pseudomonadati;PVC group;Verrucomicrobiota;Verrucomicrobiia;Verrucomicrobiales;Akkermansiaceae;Akkermansia;Akkermansia muciniphila","Bacteria","Pseudomonadati","Verrucomicrobiota","Verrucomicrobiia","Verrucomicrobiales","Akkermansiaceae","Akkermansia","Akkermansia muciniphila","WGS","COPD430",,,,,,,,,,,,,,,,,,,,"Good","2020-10-08T00:00:00Z",,,"PRJNA562766","SAMN12905377","GCA_014872065.1",,"WHIN00000000","University of Queensland","WGS","Illumina NextSeq","81.77556200451208x","SPAdes v. v3.12.0",,,25,2842148,55.291985,7,160448,48,,,2856,93.97,92.89,,99.85,,"feces","derived from fecal samples from 28 individuals with chronic obstructive pulmonary disease (COPD) and 29 healthy controls","2015-2016",2015,,"Australia",,,,"Oceania","Australia: Newcastle",,"Human, Homo sapiens","Human",,,,"Human",,,,"sample_type:metagenomic assembly","Study analysed metagenomes derived from fecal samples from 28 individuals with chronic obstructive pulmonary disease (COPD) and 29 healthy controls. Paired metabolomic data was also generated for the same samples.","2020-11-30T12:59:45.073Z","2020-11-30T12:59:45.073Z"
"239935.2303","Akkermansia muciniphila strain COPD428",,239935,"131567;2;3379134;1783257;74201;203494;48461;1647988;239934;239935","cellular organisms;Bacteria;Pseudomonadati;PVC group;Verrucomicrobiota;Verrucomicrobiia;Verrucomicrobiales;Akkermansiaceae;Akkermansia;Akkermansia muciniphila","Bacteria","Pseudomonadati","Verrucomicrobiota","Verrucomicrobiia","Verrucomicrobiales","Akkermansiaceae","Akkermansia","Akkermansia muciniphila","WGS","COPD428",,,,,,,,,,,,,,,,,,,,"Good","2020-10-08T00:00:00Z",,,"PRJNA562766","SAMN12905375","GCA_014872075.1",,"WHIL00000000","University of Queensland","WGS","Illumina NextSeq","35.04625010813908x","SPAdes v. v3.12.0",,,36,2693291,55.691383,7,110226,47,,,2669,94.03,93.07,0.45,99.85,,"feces","derived from fecal samples from 28 individuals with chronic obstructive pulmonary disease (COPD) and 29 healthy controls","2015-2016",2015,,"Australia",,,,"Oceania","Australia: Newcastle",,"Human, Homo sapiens","Human",,,,"Human",,,,"sample_type:metagenomic assembly","Study analysed metagenomes derived from fecal samples from 28 individuals with chronic obstructive pulmonary disease (COPD) and 29 healthy controls. Paired metabolomic data was also generated for the same samples.","2020-11-29T14:09:06.521Z","2020-11-29T14:09:06.521Z"
"239935.2304","Akkermansia muciniphila strain COPD429",,239935,"131567;2;3379134;1783257;74201;203494;48461;1647988;239934;239935","cellular organisms;Bacteria;Pseudomonadati;PVC group;Verrucomicrobiota;Verrucomicrobiia;Verrucomicrobiales;Akkermansiaceae;Akkermansia;Akkermansia muciniphila","Bacteria","Pseudomonadati","Verrucomicrobiota","Verrucomicrobiia","Verrucomicrobiales","Akkermansiaceae","Akkermansia","Akkermansia muciniphila","WGS","COPD429",,,,,,,,,,,,,,,,,,,,"Good","2020-10-08T00:00:00Z",,,"PRJNA562766","SAMN12905376","GCA_014872105.1",,"WHIM00000000","University of Queensland","WGS","Illumina NextSeq","15.041312030170685x","SPAdes v. v3.12.0",,,56,2716279,55.315342,12,87253,47,,,2757,93.61,92.34,0.45,99.85,,"feces","derived from fecal samples from 28 individuals with chronic obstructive pulmonary disease (COPD) and 29 healthy controls","2015-2016",2015,,"Australia",,,,"Oceania","Australia: Newcastle",,"Human, Homo sapiens","Human",,,,"Human",,,,"sample_type:metagenomic assembly","Study analysed metagenomes derived from fecal samples from 28 individuals with chronic obstructive pulmonary disease (COPD) and 29 healthy controls. Paired metabolomic data was also generated for the same samples.","2020-11-30T12:59:45.073Z","2020-11-30T12:59:45.073Z"
"239935.2306","Akkermansia muciniphila strain COPD426",,239935,"131567;2;3379134;1783257;74201;203494;48461;1647988;239934;239935","cellular organisms;Bacteria;Pseudomonadati;PVC group;Verrucomicrobiota;Verrucomicrobiia;Verrucomicrobiales;Akkermansiaceae;Akkermansia;Akkermansia muciniphila","Bacteria","Pseudomonadati","Verrucomicrobiota","Verrucomicrobiia","Verrucomicrobiales","Akkermansiaceae","Akkermansia","Akkermansia muciniphila","WGS","COPD426",,,,,,,,,,,,,,,,,,,,"Good","2020-10-08T00:00:00Z",,,"PRJNA562766","SAMN12905373","GCA_014872125.1",,"WHIJ00000000","University of Queensland","WGS","Illumina NextSeq","17.180998669793397x","SPAdes v. v3.12.0",,,77,2749197,55.507626,15,58060,48,,,2784,93.85,92.41,0.89,99.85,,"feces","derived from fecal samples from 28 individuals with chronic obstructive pulmonary disease (COPD) and 29 healthy controls","2015-2016",2015,,"Australia",,,,"Oceania","Australia: Newcastle",,"Human, Homo sapiens","Human",,,,"Human",,,,"sample_type:metagenomic assembly","Study analysed metagenomes derived from fecal samples from 28 individuals with chronic obstructive pulmonary disease (COPD) and 29 healthy controls. Paired metabolomic data was also generated for the same samples.","2020-11-29T14:07:03.099Z","2020-11-29T14:07:03.099Z"
"239935.2307","Akkermansia muciniphila strain COPD425",,239935,"131567;2;3379134;1783257;74201;203494;48461;1647988;239934;239935","cellular organisms;Bacteria;Pseudomonadati;PVC group;Verrucomicrobiota;Verrucomicrobiia;Verrucomicrobiales;Akkermansiaceae;Akkermansia;Akkermansia muciniphila","Bacteria","Pseudomonadati","Verrucomicrobiota","Verrucomicrobiia","Verrucomicrobiales","Akkermansiaceae","Akkermansia","Akkermansia muciniphila","WGS","COPD425",,,,,,,,,,,,,,,,,,,,"Good","2020-10-08T00:00:00Z",,,"PRJNA562766","SAMN12905372","GCA_014872165.1",,"WHII00000000","University of Queensland","WGS","Illumina NextSeq","15.621879623125539x","SPAdes v. v3.12.0",,,106,3019467,58.150196,22,38248,46,,,2946,93.37,91.74,2.2,99.4,,"feces","derived from fecal samples from 28 individuals with chronic obstructive pulmonary disease (COPD) and 29 healthy controls","2015-2016",2015,,"Australia",,,,"Oceania","Australia: Newcastle",,"Human, Homo sapiens","Human",,,,"Human",,,,"sample_type:metagenomic assembly","Study analysed metagenomes derived from fecal samples from 28 individuals with chronic obstructive pulmonary disease (COPD) and 29 healthy controls. Paired metabolomic data was also generated for the same samples.","2020-11-30T12:59:45.073Z","2020-11-30T12:59:45.073Z"
"239935.2356","Akkermansia muciniphila strain KGMB01990",,239935,"131567;2;3379134;1783257;74201;203494;48461;1647988;239934;239935","cellular organisms;Bacteria;Pseudomonadati;PVC group;Verrucomicrobiota;Verrucomicrobiia;Verrucomicrobiales;Akkermansiaceae;Akkermansia;Akkermansia muciniphila","Bacteria","Pseudomonadati","Verrucomicrobiota","Verrucomicrobiia","Verrucomicrobiales","Akkermansiaceae","Akkermansia","Akkermansia muciniphila","Complete","KGMB01990",,,,,,,,,,,,,,,,,,,,"Good","2021-03-23T00:00:00Z",,,"PRJDB7416","SAMN18309826","GCA_017570505.1",,"CP071886","Korean Collection for Type Culture, Biological Resource Center, Korea Research Institute of Bioscience and Biotechnology","Complete","PacBio RSII","344.0x","HGAP v. 3",,,1,2844062,55.23009,1,2844062,53,9,,2811,93.61,92.65,,99.85,,"feces",,"2017-05-18",2017,,"South Korea",,,,"Asia","South Korea:Gyeonggi-do, Seongnam-si",,"Homo sapiens","Human",,,,"Human",,,,,"The human gastrointestinal tract (GIT) contains a diverse microbial community such as bacteria, archaea and eukarya. Therefore, we will development the standard bank and support of Korean gut microbiome.","2021-03-29T20:40:44.213Z","2021-03-29T20:40:44.213Z"
"239935.2357","Akkermansia muciniphila strain KGMB02009",,239935,"131567;2;3379134;1783257;74201;203494;48461;1647988;239934;239935","cellular organisms;Bacteria;Pseudomonadati;PVC group;Verrucomicrobiota;Verrucomicrobiia;Verrucomicrobiales;Akkermansiaceae;Akkermansia;Akkermansia muciniphila","Bacteria","Pseudomonadati","Verrucomicrobiota","Verrucomicrobiia","Verrucomicrobiales","Akkermansiaceae","Akkermansia","Akkermansia muciniphila","Complete","KGMB02009",,,,,,,,,,,,,,,,,,,,"Good","2021-03-23T00:00:00Z",,,"PRJDB7416","SAMN18309827","GCA_017570425.1",,"CP071885","Korean Collection for Type Culture, Biological Resource Center, Korea Research Institute of Bioscience and Biotechnology","Complete","PacBio RSII","317.0x","HGAP v. 3",,,1,2844059,55.23008,1,2844059,53,9,,2803,93.61,92.65,,99.85,,"feces",,"2017-05-18",2017,,"South Korea",,,,"Asia","South Korea:Gyeonggi-do, Seongnam-si",,"Homo sapiens","Human",,,,"Human",,,,,"The human gastrointestinal tract (GIT) contains a diverse microbial community such as bacteria, archaea and eukarya. Therefore, we will development the standard bank and support of Korean gut microbiome.","2021-03-29T20:40:50.636Z","2021-03-29T20:40:50.636Z"
"239935.2358","Akkermansia muciniphila strain KGMB01988",,239935,"131567;2;3379134;1783257;74201;203494;48461;1647988;239934;239935","cellular organisms;Bacteria;Pseudomonadati;PVC group;Verrucomicrobiota;Verrucomicrobiia;Verrucomicrobiales;Akkermansiaceae;Akkermansia;Akkermansia muciniphila","Bacteria","Pseudomonadati","Verrucomicrobiota","Verrucomicrobiia","Verrucomicrobiales","Akkermansiaceae","Akkermansia","Akkermansia muciniphila","Complete","KGMB01988",,,,,,,,,,,,,,,,,,,,"Good","2021-03-23T00:00:00Z",,,"PRJDB7416","SAMN18309824","GCA_017570525.1",,"CP071888","Korean Collection for Type Culture, Biological Resource Center, Korea Research Institute of Bioscience and Biotechnology","Complete","PacBio RSII","318.0x","HGAP v. 3",,,1,2844056,55.229923,1,2844056,53,9,,2798,93.61,92.65,,99.85,,"feces",,"2017-05-18",2017,,"South Korea",,,,"Asia","South Korea:Gyeonggi-do, Seongnam-si",,"Homo sapiens","Human",,,,"Human",,,,,"The human gastrointestinal tract (GIT) contains a diverse microbial community such as bacteria, archaea and eukarya. Therefore, we will development the standard bank and support of Korean gut microbiome.","2021-03-29T20:41:18.477Z","2021-03-29T20:41:18.477Z"
"239935.2359","Akkermansia muciniphila strain KGMB01989",,239935,"131567;2;3379134;1783257;74201;203494;48461;1647988;239934;239935","cellular organisms;Bacteria;Pseudomonadati;PVC group;Verrucomicrobiota;Verrucomicrobiia;Verrucomicrobiales;Akkermansiaceae;Akkermansia;Akkermansia muciniphila","Bacteria","Pseudomonadati","Verrucomicrobiota","Verrucomicrobiia","Verrucomicrobiales","Akkermansiaceae","Akkermansia","Akkermansia muciniphila","Complete","KGMB01989",,,,,,,,,,,,,,,,,,,,"Good","2021-03-23T00:00:00Z",,,"PRJDB7416","SAMN18309825","GCA_017570485.1",,"CP071887","Korean Collection for Type Culture, Biological Resource Center, Korea Research Institute of Bioscience and Biotechnology","Complete","PacBio RSII","321.0x","HGAP v. 3",,,1,2844036,55.230034,1,2844036,53,9,,2791,93.61,92.65,,99.85,,"feces",,"2017-05-18",2017,,"South Korea",,,,"Asia","South Korea:Gyeonggi-do, Seongnam-si",,"Homo sapiens","Human",,,,"Human",,,,,"The human gastrointestinal tract (GIT) contains a diverse microbial community such as bacteria, archaea and eukarya. Therefore, we will development the standard bank and support of Korean gut microbiome.","2021-03-29T20:40:58.549Z","2021-03-29T20:40:58.549Z"
"239935.2450","Akkermansia muciniphila strain EB-AMDK-39",,239935,"131567;2;3379134;1783257;74201;203494;48461;1647988;239934;239935","cellular organisms;Bacteria;Pseudomonadati;PVC group;Verrucomicrobiota;Verrucomicrobiia;Verrucomicrobiales;Akkermansiaceae;Akkermansia;Akkermansia muciniphila","Bacteria","Pseudomonadati","Verrucomicrobiota","Verrucomicrobiia","Verrucomicrobiales","Akkermansiaceae","Akkermansia","Akkermansia muciniphila","Complete","EB-AMDK-39",,,,,,,,,,,,,,,,,,,,"Good","2020-02-06T00:00:00Z",,,"PRJNA473886","SAMN09287785","GCA_010231335.1",,"CP029753","Korea Food Research Institute","Complete","PacBio","276.8x","HGAP v. 3.0",,,1,3156561,57.77522,1,3156561,54,3,,3016,93.91,93.19,,99.85,,"Korean adult feces",,"2018-02-08",2018,,"South Korea",,,,"Asia","South Korea: Ilsan",,"Homo sapiens","Human",,,,"Human",,,,"sample_type:cell culture","EB-AMDK-39 strain was isolated from Korean adult feces","2021-06-02T14:54:19.226Z","2021-06-02T14:54:19.226Z"
"239935.2451","Akkermansia muciniphila strain AMUC",,239935,"131567;2;3379134;1783257;74201;203494;48461;1647988;239934;239935","cellular organisms;Bacteria;Pseudomonadati;PVC group;Verrucomicrobiota;Verrucomicrobiia;Verrucomicrobiales;Akkermansiaceae;Akkermansia;Akkermansia muciniphila","Bacteria","Pseudomonadati","Verrucomicrobiota","Verrucomicrobiia","Verrucomicrobiales","Akkermansiaceae","Akkermansia","Akkermansia muciniphila","Complete","AMUC",,,,,,,,,,,,,,,,,,,,"Good","2021-04-30T00:00:00Z",,,"PRJNA722306","SAMN18751767","GCA_018140615.1",,"CP073284","Pendulum Therapeutics","Complete","PacBio Sequel; Illumina MiSeq","166x","Canu v. 2.0",,,1,2664064,55.76225,1,2664064,53,9,,2581,94.03,93.31,,99.85,,,,"2016-09-22",2016,,"USA",,,,"North America","USA",,"Homo sapiens","Human",,,,"Human",,,,"sample_type:cell culture","A growing body of evidence suggests that specific, naturally occurring gut bacteria are under-represented in the intestinal tracts of subjects with type 2 diabetes (T2D) and that their functions, like gut barrier stability and butyrate production, are important to glucose and insulin homeostasis. The objective of this study was to test the hypothesis that enteral exposure to microbes with these proposed functions can safely improve clinical measures of glycemic control and thereby play a role in the overall dietary management of diabetes.","2021-06-02T17:41:10.373Z","2021-06-02T17:41:10.373Z"
"239935.2453","Akkermansia muciniphila strain L2_040_365G1_dasL2_040_365G1_concoct_4",,239935,"131567;2;3379134;1783257;74201;203494;48461;1647988;239934;239935","cellular organisms;Bacteria;Pseudomonadati;PVC group;Verrucomicrobiota;Verrucomicrobiia;Verrucomicrobiales;Akkermansiaceae;Akkermansia;Akkermansia muciniphila","Bacteria","Pseudomonadati","Verrucomicrobiota","Verrucomicrobiia","Verrucomicrobiales","Akkermansiaceae","Akkermansia","Akkermansia muciniphila","WGS","L2_040_365G1_dasL2_040_365G1_concoct_4",,,,,,,,,,,,,,,,,,,,"Good","2021-05-16T00:00:00Z",,,"PRJNA698986","SAMN17801537","GCA_018372795.1",,"JAHAIG000000000","University of California, Berkeley","WGS","Illumina NovaSeq 6000","168.5155x","IDBA_UD v. v1.1.3",,,30,2738458,55.379086,5,185515,48,,,2771,93.97,92.83,,99.55,,"infant feces",,"2016-2019",2016,,"USA","Pennsylvania",,,"North America","USA: Pittsburgh, Magee-Womens Hospital of UPMC",,"Homo sapiens","Human",,,,"Human",,,,"sample_type:metagenomic assembly","Using genome-resolved metagenomics to investigate the early-life gut microbiome succession at the strain-level.","2021-06-03T00:39:02.609Z","2021-06-03T00:39:02.609Z"
"239935.2454","Akkermansia muciniphila strain L3_069_242G1_dasL3_069_242G1_maxbin2.maxbin.044s ta_sub strain L3_069_242G1_dasL3_069_242G1_maxbin2.maxbin.044sta_sub",,239935,"131567;2;3379134;1783257;74201;203494;48461;1647988;239934;239935","cellular organisms;Bacteria;Pseudomonadati;PVC group;Verrucomicrobiota;Verrucomicrobiia;Verrucomicrobiales;Akkermansiaceae;Akkermansia;Akkermansia muciniphila","Bacteria","Pseudomonadati","Verrucomicrobiota","Verrucomicrobiia","Verrucomicrobiales","Akkermansiaceae","Akkermansia","Akkermansia muciniphila","WGS","L3_069_242G1_dasL3_069_242G1_maxbin2.maxbin.044sta_sub",,,,,,,,,,,,,,,,,,,,"Good","2021-05-16T00:00:00Z",,,"PRJNA698986","SAMN17801384","GCA_018375855.1",,"JAHACJ000000000","University of California, Berkeley","WGS","Illumina NovaSeq 6000","193.9301x","IDBA_UD v. v1.1.3",,,81,2886510,55.34112,7,165054,51,,,2927,93.85,92.71,1.04,99.85,,"infant feces",,"2016-2019",2016,,"USA","Pennsylvania",,,"North America","USA: Pittsburgh, Magee-Womens Hospital of UPMC",,"Homo sapiens","Human",,,,"Human",,,,"sample_type:metagenomic assembly","Using genome-resolved metagenomics to investigate the early-life gut microbiome succession at the strain-level.","2021-06-03T02:37:22.940Z","2021-06-03T02:37:22.940Z"
"239935.2476","Akkermansia muciniphila strain CSUN-59 AmI",,239935,"131567;2;3379134;1783257;74201;203494;48461;1647988;239934;239935","cellular organisms;Bacteria;Pseudomonadati;PVC group;Verrucomicrobiota;Verrucomicrobiia;Verrucomicrobiales;Akkermansiaceae;Akkermansia;Akkermansia muciniphila","Bacteria","Pseudomonadati","Verrucomicrobiota","Verrucomicrobiia","Verrucomicrobiales","Akkermansiaceae","Akkermansia","Akkermansia muciniphila","WGS","CSUN-59 AmI",,,,,,,,,,,,,,,,,,,,"Good","2021-06-04T00:00:00Z",,,"PRJNA609771","SAMN14614193","GCA_018709665.1",,"JABDHO000000000","California State University, Northridge","WGS","Illumina HiSeq","31x","Unicycler v. Feb/Mar 2020",,,65,2942175,55.224926,6,193722,50,2,,3012,93.85,93.01,,99.85,,"feces",,"2019-08-11",2019,,"USA","California",,,"North America","USA:California, Northridge",,"Homo sapiens","Human","Female","59",,"Human",,,"host_subject_id:CSUN-59",,"Genome sequencing of 11 isolates representing four species-level phylogroups","2021-06-26T02:00:34.096Z","2021-06-26T02:00:34.096Z"
"239935.2477","Akkermansia muciniphila strain CSUN-50 AmII",,239935,"131567;2;3379134;1783257;74201;203494;48461;1647988;239934;239935","cellular organisms;Bacteria;Pseudomonadati;PVC group;Verrucomicrobiota;Verrucomicrobiia;Verrucomicrobiales;Akkermansiaceae;Akkermansia;Akkermansia muciniphila","Bacteria","Pseudomonadati","Verrucomicrobiota","Verrucomicrobiia","Verrucomicrobiales","Akkermansiaceae","Akkermansia","Akkermansia muciniphila","WGS","CSUN-50 AmII",,,,,,,,,,,,,,,,,,,,"Good","2021-06-04T00:00:00Z",,,"PRJNA609771","SAMN14614190","GCA_018709675.1",,"JABDHR000000000","California State University, Northridge","WGS","Illumina HiSeq","28x","Unicycler v. Feb/Mar 2020",,,23,3005559,58.2129,3,393567,49,1,,2857,93.85,93.19,0.3,99.85,,"feces",,"2019-03-14",2019,,"USA","California",,,"North America","USA:California, Northridge",,"Homo sapiens","Human","Female","23",,"Human",,,"host_subject_id:CSUN-50",,"Genome sequencing of 11 isolates representing four species-level phylogroups","2021-06-26T02:00:25.056Z","2021-06-26T02:00:25.056Z"
"239935.2478","Akkermansia muciniphila strain CSUN-56 AmIII",,239935,"131567;2;3379134;1783257;74201;203494;48461;1647988;239934;239935","cellular organisms;Bacteria;Pseudomonadati;PVC group;Verrucomicrobiota;Verrucomicrobiia;Verrucomicrobiales;Akkermansiaceae;Akkermansia;Akkermansia muciniphila","Bacteria","Pseudomonadati","Verrucomicrobiota","Verrucomicrobiia","Verrucomicrobiales","Akkermansiaceae","Akkermansia","Akkermansia muciniphila","WGS","CSUN-56 AmIII",,,,,,,,,,,,,,,,,,,,"Good","2021-06-04T00:00:00Z",,,"PRJNA609771","SAMN14614191","GCA_018709685.1",,"JABDHQ000000000","California State University, Northridge","WGS","Illumina HiSeq","29x","Unicycler v. Feb/Mar 2020",,,48,2860685,58.462048,6,187750,49,1,,2664,92.77,92.22,0.15,97.15,,"feces",,"2019-07-01",2019,,"USA","California",,,"North America","USA:California, Northridge",,"Homo sapiens","Human","Female","21",,"Human",,,"host_subject_id:CSUN-56",,"Genome sequencing of 11 isolates representing four species-level phylogroups","2021-06-26T02:03:54.152Z","2021-06-26T02:03:54.152Z"
