Genome ID,Genome Name,Other Names,NCBI Taxon ID,Taxon Lineage IDs,Taxon Lineage Names,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Segment,Subtype,H_type,N_type,H1 Clade Global,H1 Clade US,H5 Clade,pH1N1-like,Lineage,Clade,Subclade,Other Typing,Culture Collection,Type Strain,Reference,Genome Quality,Completion Date,Publication,Authors,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,Sequencing Center,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosome,Plasmids,Contigs,Size,GC Content,Contig L50,Contig N50,TRNA,RRNA,Mat Peptide,CDS,Coarse Consistency,Fine Consistency,CheckM Contamination,CheckM Completeness,Genome Quality Flags,Isolation Source,Isolation Comments,Collection Date,Collection Year,Season,Isolation Country,State/Province,County,City,Geographic Group,Geographic Location,Other Environmental,Host Name,Host Common Name,Host Sex,Host Age,Host Health,Host Group,Lab Host,Passage,Other Clinical,Additional Metadata,Comments,Date Inserted,Date Modified
818.2214,Bacteroides thetaiotaomicron VPI-2808B,,818,131567;2;3379134;1783270;68336;976;200643;171549;815;816;818,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides thetaiotaomicron,Bacteria,Pseudomonadati,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,Complete,VPI-2808B,,,,,,,,,,,,,,,,,,,,Good,2022-10-31T00:00:00Z,,,PRJNA736687,SAMN19663834,GCA_025916335.1,,CP083687,,Complete,Illumina HiSeq,165x,A5ud v. v1,,,1,6225667,42.8355,1,6225667,62,5,,5191,99.9,99.6,,100,,rectal abcess,,,,,,,,,,,,Homo sapiens,Human,,,,Human,,,,,,2022-11-22T20:13:33.124Z,2022-11-22T20:13:33.124Z
818.1928,Bacteroides thetaiotaomicron VPI-0940-1,,818,131567;2;3379134;1783270;68336;976;200643;171549;815;816;818,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides thetaiotaomicron,Bacteria,Pseudomonadati,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,WGS,VPI-0940-1,,,,,,,,,,,,,,,,,,,,Good,2022-01-10T00:00:00Z,34965410,,PRJNA715234,SAMN18350525,GCA_021409585.1,,JAGKID000000000,,WGS,Illumina HiSeq,147.3x,A5ud v. 1,,,80,6076469,42.895477,10,179042,64,5,,4959,97.47,96.68,,99.78,,feces,,,,,,,,,,,,Homo sapiens,Human,,,,Human,,,,,,2022-02-02T19:18:22.708Z,2022-02-02T19:18:22.708Z
818.1929,Bacteroides thetaiotaomicron VPI-0633-1,,818,131567;2;3379134;1783270;68336;976;200643;171549;815;816;818,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides thetaiotaomicron,Bacteria,Pseudomonadati,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,WGS,VPI-0633-1,,,,,,,,,,,,,,,,,,,,Good,2022-01-10T00:00:00Z,34965410,,PRJNA715234,SAMN18350524,GCA_021409595.1,,JAGKIE000000000,,WGS,Illumina HiSeq,141.1x,A5ud v. 1,,,59,5790842,42.876156,8,266759,63,3,,4663,96.99,96.14,,99.78,,peritoneal cavity,,,,,,,,,,,,Homo sapiens,Human,,,,Human,,,,,,2022-02-02T19:18:38.392Z,2022-02-02T19:18:38.392Z
818.2378,Bacteroides thetaiotaomicron TM12-8GNA,,818,131567;2;3379134;1783270;68336;976;200643;171549;815;816;818,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides thetaiotaomicron,Bacteria,Pseudomonadati,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,WGS,TM12-8GNA,,,,,,,,,,,,,,,,,,,,Good,2023-01-12T00:00:00Z,,,PRJNA903559,SAMN31809434,GCA_027677095.1,,JAQENL000000000,,,MGI,100x,SOAPdenovo v. v2.04,,,87,6296800,42.753624,10,232945,64,4,,5131,100,99.5,,100,,fecal material [ENVO:00002003],,2/1/14,2014,,China,,,,Asia,China: Shenzhen,,Homo sapiens,Human,,,,Human,,,,,,2023-02-12T16:08:43.291Z,2023-02-12T16:08:43.291Z
818.238,Bacteroides thetaiotaomicron TF01-15,,818,131567;2;3379134;1783270;68336;976;200643;171549;815;816;818,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides thetaiotaomicron,Bacteria,Pseudomonadati,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,WGS,TF01-15,,,,,,,,,,,,,,,,,,,,Good,2023-01-12T00:00:00Z,,,PRJNA903559,SAMN31809796,GCA_027691065.1,,JAQFBI000000000,,,MGI,100x,SOAPdenovo v. v2.04,,,61,6482341,42.959385,8,249284,60,3,,5439,99.7,99.5,,100,,fecal material [ENVO:00002003],,2/1/14,2014,,China,,,,Asia,China: Shenzhen,,Homo sapiens,Human,,,,Human,,,,,,2023-02-12T17:04:32.544Z,2023-02-12T17:04:32.544Z
818.345,Bacteroides thetaiotaomicron Tbg-91,,818,131567;2;3379134;1783270;68336;976;200643;171549;815;816;818,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides thetaiotaomicron,Bacteria,Pseudomonadati,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,WGS,Tbg-91,,,,,,,,,,,,,,,,,,,,Good,2025-02-05T00:00:00Z,,,PRJNA900398,SAMN46310919,,,JBLGZX000000000,,,IonTorrent,28x,SPAdes v. 3.15.5,,,115,6961305,43.074265,11,178180,62,6,,6224,99.9,99.3,1.7,100,,blood,,5/20/09,2009,,Norway,,,,Europe,Norway: Vestfold,,Homo sapiens,Human,,,bacteremia,Human,,,,"collected_by:Vestfold Hospital Trust, Department of Microbiology",,2025-04-19T02:07:25.217Z,2025-04-19T02:07:25.217Z
818.3454,Bacteroides thetaiotaomicron Tbg-77,,818,131567;2;3379134;1783270;68336;976;200643;171549;815;816;818,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides thetaiotaomicron,Bacteria,Pseudomonadati,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,WGS,Tbg-77,,,,,,,,,,,,,,,,,,,,Good,2025-02-05T00:00:00Z,,,PRJNA900398,SAMN46310917,,,JBLGZV000000000,,,IonTorrent,28x,SPAdes v. 3.15.5,,,70,6086657,42.798058,9,237935,65,9,,5164,99.9,99,1.7,100,,blood,,11/7/08,2008,,Norway,,,,Europe,Norway: Telemark,,Homo sapiens,Human,,,bacteremia,Human,,,,"collected_by:Vestfold Hospital Trust, Department of Microbiology",,2025-04-19T02:06:46.974Z,2025-04-19T02:06:46.974Z
818.3397,Bacteroides thetaiotaomicron Tbg-472,,818,131567;2;3379134;1783270;68336;976;200643;171549;815;816;818,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides thetaiotaomicron,Bacteria,Pseudomonadati,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,WGS,Tbg-472,,,,,,,,,,,,,,,,,,,,Good,2025-02-05T00:00:00Z,,,PRJNA900398,SAMN46310989,,,JBLHCP000000000,,,IonTorrent,27x,SPAdes v. 3.15.5,,,102,6640975,43.155922,10,207982,63,7,,6013,99.8,98.4,2.4,100,,blood,,11/23/18,2018,,Norway,,,,Europe,Norway: Vestfold,,Homo sapiens,Human,,,bacteremia,Human,,,,"collected_by:Vestfold Hospital Trust, Department of Microbiology",,2025-04-19T02:02:20.112Z,2025-04-19T02:02:20.112Z
818.3395,Bacteroides thetaiotaomicron Tbg-470,,818,131567;2;3379134;1783270;68336;976;200643;171549;815;816;818,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides thetaiotaomicron,Bacteria,Pseudomonadati,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,WGS,Tbg-470,,,,,,,,,,,,,,,,,,,,Good,2025-02-05T00:00:00Z,,,PRJNA900398,SAMN46310988,,,JBLHCO000000000,,,IonTorrent,28x,SPAdes v. 3.15.5,,,94,6634288,43.137936,8,243979,64,7,,5874,99.7,99,1.9,100,,blood,,7/24/21,2021,,Norway,,,,Europe,Norway: Telemark,,Homo sapiens,Human,,,bacteremia,Human,,,,"collected_by:Vestfold Hospital Trust, Department of Microbiology",,2025-04-19T02:02:23.128Z,2025-04-19T02:02:23.128Z
818.3396,Bacteroides thetaiotaomicron Tbg-468,,818,131567;2;3379134;1783270;68336;976;200643;171549;815;816;818,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides thetaiotaomicron,Bacteria,Pseudomonadati,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,WGS,Tbg-468,,,,,,,,,,,,,,,,,,,,Good,2025-02-05T00:00:00Z,,,PRJNA900398,SAMN46310986,,,JBLHCM000000000,,,IonTorrent,29x,SPAdes v. 3.15.5,,,54,6715948,42.717617,7,311556,71,11,,5836,99.9,99.3,0.9,100,,blood,,10/26/09,2009,,Norway,,,,Europe,Norway: Vestfold,,Homo sapiens,Human,,,bacteremia,Human,,,,"collected_by:Vestfold Hospital Trust, Department of Microbiology",,2025-04-19T02:02:25.662Z,2025-04-19T02:02:25.662Z
818.3398,Bacteroides thetaiotaomicron Tbg-467,,818,131567;2;3379134;1783270;68336;976;200643;171549;815;816;818,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides thetaiotaomicron,Bacteria,Pseudomonadati,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,WGS,Tbg-467,,,,,,,,,,,,,,,,,,,,Good,2025-02-05T00:00:00Z,,,PRJNA900398,SAMN46310985,,,JBLHCL000000000,,,IonTorrent,29x,SPAdes v. 3.15.5,,,85,6196532,42.766113,12,160560,71,6,,5269,100,99.1,0.7,100,,blood,,12/20/14,2014,,Norway,,,,Europe,Norway: Telemark,,Homo sapiens,Human,,,bacteremia,Human,,,,"collected_by:Vestfold Hospital Trust, Department of Microbiology",,2025-04-19T02:03:50.499Z,2025-04-19T02:03:50.499Z
818.3394,Bacteroides thetaiotaomicron Tbg-464,,818,131567;2;3379134;1783270;68336;976;200643;171549;815;816;818,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides thetaiotaomicron,Bacteria,Pseudomonadati,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,WGS,Tbg-464,,,,,,,,,,,,,,,,,,,,Good,2025-02-05T00:00:00Z,,,PRJNA900398,SAMN46310983,,,JBLHCJ000000000,,,IonTorrent,28x,SPAdes v. 3.15.5,,,138,6945013,42.922527,17,128528,73,7,,6397,99.9,98.6,1.9,100,,blood,,7/12/21,2021,,Norway,,,,Europe,Norway: Vestfold,,Homo sapiens,Human,,,bacteremia,Human,,,,"collected_by:Vestfold Hospital Trust, Department of Microbiology",,2025-04-19T02:02:38.703Z,2025-04-19T02:02:38.703Z
818.3399,Bacteroides thetaiotaomicron Tbg-462,,818,131567;2;3379134;1783270;68336;976;200643;171549;815;816;818,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides thetaiotaomicron,Bacteria,Pseudomonadati,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,WGS,Tbg-462,,,,,,,,,,,,,,,,,,,,Good,2025-02-05T00:00:00Z,,,PRJNA900398,SAMN46310981,,,JBLHCH000000000,,,IonTorrent,28x,SPAdes v. 3.15.5,,,147,6663956,42.67249,11,207303,68,6,,6030,99.7,98.2,2.2,99.8,,blood,,12/7/21,2021,,Norway,,,,Europe,Norway: Vestfold,,Homo sapiens,Human,,,bacteremia,Human,,,,"collected_by:Vestfold Hospital Trust, Department of Microbiology",,2025-04-19T02:03:59.478Z,2025-04-19T02:03:59.478Z
818.34,Bacteroides thetaiotaomicron Tbg-459,,818,131567;2;3379134;1783270;68336;976;200643;171549;815;816;818,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides thetaiotaomicron,Bacteria,Pseudomonadati,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,WGS,Tbg-459,,,,,,,,,,,,,,,,,,,,Good,2025-02-05T00:00:00Z,,,PRJNA900398,SAMN46310979,,,JBLHCF000000000,,,IonTorrent,28x,SPAdes v. 3.15.5,,,50,5880185,42.686054,7,316549,58,8,,5102,99.7,98.2,2.4,100,,blood,,9/17/20,2020,,Norway,,,,Europe,Norway: Vestfold,,Homo sapiens,Human,,,bacteremia,Human,,,,"collected_by:Vestfold Hospital Trust, Department of Microbiology",,2025-04-19T02:02:14.464Z,2025-04-19T02:02:14.464Z
818.3401,Bacteroides thetaiotaomicron Tbg-458,,818,131567;2;3379134;1783270;68336;976;200643;171549;815;816;818,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides thetaiotaomicron,Bacteria,Pseudomonadati,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,WGS,Tbg-458,,,,,,,,,,,,,,,,,,,,Good,2025-02-05T00:00:00Z,,,PRJNA900398,SAMN46310978,,,JBLHCE000000000,,,IonTorrent,28x,SPAdes v. 3.15.5,,,105,6683478,43.03656,13,169107,60,10,,5970,99.9,98.6,2.2,100,,blood,,4/5/20,2020,,Norway,,,,Europe,Norway: Vestfold,,Homo sapiens,Human,,,bacteremia,Human,,,,"collected_by:Vestfold Hospital Trust, Department of Microbiology",,2025-04-19T02:02:31.905Z,2025-04-19T02:02:31.905Z
818.3403,Bacteroides thetaiotaomicron Tbg-457,,818,131567;2;3379134;1783270;68336;976;200643;171549;815;816;818,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides thetaiotaomicron,Bacteria,Pseudomonadati,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,WGS,Tbg-457,,,,,,,,,,,,,,,,,,,,Good,2025-02-05T00:00:00Z,,,PRJNA900398,SAMN46310977,,,JBLHCD000000000,,,IonTorrent,28x,SPAdes v. 3.15.5,,,57,6284015,42.989346,6,352444,58,8,,5489,99.9,99,1.5,99.8,,blood,,4/27/20,2020,,Norway,,,,Europe,Norway: Vestfold,,Homo sapiens,Human,,,bacteremia,Human,,,,"collected_by:Vestfold Hospital Trust, Department of Microbiology",,2025-04-19T02:03:01.580Z,2025-04-19T02:03:01.580Z
